employeeExternalId,locationId,locationExternalId,type,currentBalance,availableBalance,accrued,carryOverBalance,taken
844660,e78b7c9d-f86d-4879-b0c1-495c4acf8b1b,5182,Take 5 Day,8,8,0,8,0
825222,24cd47b4-bde1-4b24-9a88-fd76dc8d51f7,8135,Sick Earned,0,0,0,0,0
829184,eee43823-9f5e-4e2a-9496-4921b9e3b778,8210,Sick Earned,5.83,5.83,0,5.83,0
810545,98f49f17-77e4-407a-906e-01e43d5636c8,8196,Sick Earned,5.37,5.37,0,5.37,0
840352,abfce0d0-7e93-47c8-af64-4fac0d0c86ce,8219,Sick Earned,0,0,0,0,0
785229,3909eb4a-65ae-48bc-b994-d809cd3a4e1f,348,Personal,8,8,0,8,0
785229,3909eb4a-65ae-48bc-b994-d809cd3a4e1f,348,Vacation,8.12,8.12,0,8.12,0
785229,3909eb4a-65ae-48bc-b994-d809cd3a4e1f,348,Take 5 Day,8,8,0,8,0
845746,e7e78c11-6176-4889-928d-34875d73488a,251,Sick Earned,1.82,1.82,0,1.82,0
843434,33924095-4170-407e-a845-681c91a5d934,160,Vacation,0,0,0,0,0
843434,33924095-4170-407e-a845-681c91a5d934,160,Personal,40,40,0,40,0
843434,33924095-4170-407e-a845-681c91a5d934,160,Take 5 Day,8,8,0,8,0
740395,3ec4b334-afe5-4bd4-bed1-7ffc4a0a2d00,811,Personal,40,40,0,40,0
740395,3ec4b334-afe5-4bd4-bed1-7ffc4a0a2d00,811,Vacation,77,77,0,77,0
740395,3ec4b334-afe5-4bd4-bed1-7ffc4a0a2d00,811,Take 5 Day,5,5,0,5,0
773783,6e6b5af5-37d2-404f-adb6-d779f72514a5,1373,CA Sick,8,8,0,8,0
802040,2d43b104-8203-4693-bcfb-fbc32751d720,7004,Vacation,2.08,2.08,0,2.08,0
802040,2d43b104-8203-4693-bcfb-fbc32751d720,7004,Sick Earned,9.6,9.6,0,9.6,0
844589,e6608ddf-715c-4497-a7ae-cb83104b6f71,764,Sick Earned,2.88,2.88,0,2.88,0
777882,c884bd34-01fa-4964-9607-9be4fe0a1c4d,6078,Personal,19,19,0,19,0
777882,c884bd34-01fa-4964-9607-9be4fe0a1c4d,6078,Vacation,9,9,0,9,0
777882,c884bd34-01fa-4964-9607-9be4fe0a1c4d,6078,Take 5 Day,9,9,0,9,0
533222,500ab1d8-a3b5-4d0d-90d0-f21be8f02220,256,Sick Earned,8,8,0,8,0
839902,bf92cd22-da9a-425b-83b2-5e211f0f18a5,1417,Personal,40,40,0,40,0
839902,bf92cd22-da9a-425b-83b2-5e211f0f18a5,1417,Take 5 Day,8,8,0,8,0
755093,ac95df98-a648-41cc-b554-f047d462a2c2,1426,CA Sick,12,12,0,12,0
846368,0f40d9d1-51f5-4de9-bcff-4febda80d81e,8148,Sick Earned,1.65,1.65,0,1.65,0
836705,69b49b6b-22aa-4ce0-a4c7-66b22cb4961f,8011,Sick Earned,0,0,0,0,0
794745,06a0b3f0-9f27-40e5-a669-9d741f43e36a,8105,Sick Earned,0,0,0,0,0
778171,4728d757-e293-486d-8348-3f60a7695043,327,Sick Earned,38.65,38.65,0,38.65,0
769861,af730a33-9ce0-474a-a18c-ecaeefec6efa,1321,CA Sick,16,16,0,16,0
795960,2ef794d2-68bc-4744-931b-0a01d9ae0d93,72053,Vacation,80,80,0,80,0
795960,2ef794d2-68bc-4744-931b-0a01d9ae0d93,72053,Personal,40,40,0,40,0
795960,2ef794d2-68bc-4744-931b-0a01d9ae0d93,72053,Take 5 Day,8,8,0,8,0
798238,0f40d9d1-51f5-4de9-bcff-4febda80d81e,8148,Sick Earned,16,16,0,16,0
829218,0e15969e-21ed-48cb-95dd-13c1c12c9fe5,3007,Sick Earned,16.15,16.15,0,16.15,0
723357,326e3645-f63d-4b96-898b-0d49a418133b,657,Vacation,4.1,4.1,0,4.1,0
723357,326e3645-f63d-4b96-898b-0d49a418133b,657,Personal,40,40,0,40,0
